Sample number,Monoisotopic mass,Intensity,RT_start,RT_finish
3,9060.915,1.69E+07,71.007,75.474
3,9060.004,1.12E+08,68.742,71.738
1,9060.002,3.24E+07,69.248,73.478
2,9060.002,4.17E+07,66.248,68.731
4,9060.001,7.53E+07,70.491,73.972
3,9035.685,6.32E+05,51.492,53.478
4,9023.428,1.23E+06,49.753,51.98
3,9023.424,9.38E+05,47.249,48.983
4,9007.434,6.30E+06,49.499,52.736
2,9007.433,6.81E+06,45.495,49.973
3,9007.431,7.04E+06,46.997,50.226
1,9007.43,3.30E+06,47.26,51.978
4,8991.442,9.05E+06,49.499,52.482
2,8991.441,3.23E+07,45.244,49.973
3,8991.44,1.88E+07,46.745,50.988
1,8991.435,2.06E+07,47.493,51.24
2,8954.888,6.64E+05,40.742,42.974
2,8940.499,6.25E+05,42.741,44.485
1,8940.495,4.32E+05,43.997,45.977
4,8940.494,5.36E+06,44.992,47.733
3,8940.494,6.94E+06,42.494,45.989
4,8938.891,1.46E+06,46.497,48.973
2,8938.89,2.91E+06,42.51,45.979
3,8938.889,2.39E+06,42.748,45.989
1,8938.886,1.96E+06,44.499,47.729
4,8936.997,1.79E+06,74.496,76.238
3,8936.997,1.38E+06,73.249,74.73
1,8921.692,7.15E+05,62.001,63.724
3,8921.688,4.15E+05,62.254,63.738
2,8921.681,9.49E+05,59.749,61.478
2,8920.404,3.91E+06,45.748,47.988
3,8920.401,2.41E+05,47.249,48.728
1,8920.401,1.88E+06,47.746,49.973
1,8869.717,1.73E+06,75.492,77.488
2,8869.714,1.28E+06,72.255,73.74
3,8869.713,1.87E+06,74.747,76.232
1,8857.679,3.15E+06,81.744,83.985
4,8854.102,2.76E+06,95.247,97.232
2,8854.101,1.64E+07,92.502,95.982
3,8854.097,1.54E+07,94,96.482
4,8851.847,2.42E+06,70.491,71.99
